epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,775.091,0.44463,0.27997,0.8839,0.99772,1,0.995,0.90965,0.37753,0.23067,0.81661,0.000367967,0.000367967,0.000367967
62,788.579,0.42196,0.283,0.86029,0.99708,1,0.995,0.90976,0.36496,0.21878,0.81588,0.000350284,0.000350284,0.000350284
63,801.303,0.42059,0.27779,0.86396,0.99713,1,0.995,0.91462,0.36926,0.21764,0.81584,0.0003326,0.0003326,0.0003326
64,814.064,0.41488,0.27846,0.85605,0.99738,1,0.995,0.91019,0.36858,0.21769,0.81884,0.000314916,0.000314916,0.000314916
65,826.398,0.4206,0.27485,0.86247,0.99743,1,0.995,0.9109,0.36268,0.21633,0.813,0.000297232,0.000297232,0.000297232
66,837.12,0.41114,0.27251,0.85846,0.99748,1,0.995,0.91103,0.35675,0.22163,0.81636,0.000279548,0.000279548,0.000279548
67,848.33,0.41568,0.27746,0.85431,0.99687,1,0.995,0.91147,0.35508,0.21574,0.81081,0.000261864,0.000261864,0.000261864
68,862.241,0.39206,0.26837,0.84979,0.99678,1,0.995,0.91175,0.34999,0.21521,0.8102,0.00024418,0.00024418,0.00024418
69,874.439,0.38517,0.25586,0.8441,0.99716,1,0.995,0.90756,0.35321,0.21743,0.81183,0.000226497,0.000226497,0.000226497
70,886.488,0.39219,0.25414,0.85196,0.99697,1,0.995,0.91143,0.3468,0.2044,0.81016,0.000208813,0.000208813,0.000208813
71,902.356,0.34435,0.22885,0.81567,0.99713,1,0.995,0.91049,0.3514,0.20339,0.81157,0.000191129,0.000191129,0.000191129
72,913.598,0.35017,0.24015,0.82822,0.99692,1,0.995,0.90836,0.34467,0.20904,0.81088,0.000173445,0.000173445,0.000173445
73,924.263,0.33868,0.22786,0.82624,0.99711,1,0.995,0.91132,0.34763,0.20717,0.80998,0.000155761,0.000155761,0.000155761
74,937.227,0.33118,0.2258,0.82519,0.99715,1,0.995,0.90852,0.34463,0.20671,0.81034,0.000138077,0.000138077,0.000138077
75,949.426,0.34802,0.22878,0.82784,0.99694,1,0.995,0.90994,0.34456,0.20629,0.8111,0.000120393,0.000120393,0.000120393
76,960.785,0.33627,0.22674,0.82545,0.99704,1,0.995,0.91214,0.33617,0.19955,0.80944,0.000102709,0.000102709,0.000102709
77,971.023,0.33217,0.22746,0.83333,0.99668,1,0.995,0.91294,0.33607,0.19997,0.80923,8.50255e-05,8.50255e-05,8.50255e-05
78,983.958,0.33255,0.22025,0.83149,0.99647,1,0.995,0.91069,0.33407,0.19859,0.80777,6.73416e-05,6.73416e-05,6.73416e-05
79,995.817,0.32689,0.21879,0.82797,0.99674,1,0.995,0.91065,0.3325,0.19664,0.80745,4.96578e-05,4.96578e-05,4.96578e-05
80,1007.66,0.31763,0.21377,0.81874,0.99684,1,0.995,0.91003,0.33026,0.19731,0.80816,3.19739e-05,3.19739e-05,3.19739e-05
